stereotype,acc,delta-G,delta-S,delta-S_wmt,unk_perc,acc_wo_unk
bing_it,51.8,31.8,4.7,14.4,15.8,63.8
bing_fr,69.2,6.2,7.8,20.9,9.9,77.8
bing_uk,48.2,18.8,-9.1,4.0,18.3,62.1
bing_ru,46.4,15.6,-7.3,8.2,21.0,63.3
bing_es,62.0,16.8,2.1,11.1,12.8,72.7
bing_he,65.4,1.9,16.1,20.9,13.3,77.2
bing_ar,54.0,20.8,-2.5,9.2,15.3,66.0
google_it,52.0,26.2,6.7,14.2,17.4,65.8
google_fr,64.2,12.1,4.3,16.2,10.7,73.0
google_uk,46.5,14.7,-4.6,11.6,23.0,66.4
google_ru,42.7,19.4,-7.2,6.4,22.7,60.4
google_es,66.8,11.9,6.5,15.6,12.5,78.0
google_he,64.5,3.8,14.8,17.5,10.4,72.9
google_ar,55.2,18.3,7.3,9.0,15.3,67.4
systran_it,70.9,7.7,-0.1,6.0,12.1,82.2
systran_fr,80.6,1.5,-5.0,-2.7,6.8,87.0
systran_uk,38.2,27.4,-14.2,-8.2,18.5,49.4
systran_ru,37.0,22.5,-6.0,6.9,23.1,52.8
systran_es,94.1,0.1,2.4,6.6,2.8,96.8
systran_he,44.6,16.1,15.6,18.4,12.6,52.1
systran_ar,51.5,24.3,9.2,10.9,14.4,62.0
aws_it,58.9,16.8,5.5,13.2,18.4,76.2
aws_fr,68.0,5.7,3.7,24.5,9.7,76.2
aws_uk,41.4,27.4,-4.4,8.0,25.2,62.5
aws_ru,47.3,15.7,-7.5,7.1,19.3,62.2
aws_es,72.7,5.2,-1.7,6.8,11.2,83.2
aws_he,60.3,10.0,13.1,18.7,11.6,69.4
aws_ar,59.2,15.3,1.0,7.5,11.6,68.2
deepl_it,61.9,15.8,7.7,13.7,19.2,81.2
deepl_fr,83.3,0.4,-4.9,-2.3,9.0,92.5
deepl_uk,54.7,8.2,0.2,11.7,16.6,68.2
deepl_ru,42.3,15.5,-16.0,-3.0,23.2,60.6
deepl_es,83.1,6.4,5.9,5.6,6.8,89.7
gpt4o-mini_it,75.5,4.4,2.3,3.9,12.0,87.4
gpt4o-mini_fr,89.4,-0.4,0.8,1.3,5.6,94.9
gpt4o-mini_uk,69.6,6.1,-2.4,3.1,12.0,80.7
gpt4o-mini_ru,55.4,6.3,-15.5,-4.2,14.2,66.5
gpt4o-mini_es,95.8,1.7,-0.8,0.0,3.1,99.0
gpt4o-mini_he,78.1,-1.5,5.4,5.2,6.6,84.0
gpt4o-mini_ar,83.3,0.5,4.9,2.6,5.9,88.9